Phosphate,Carbonate,Silicate,Aluminosilicate,Other,,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Fe,Cu,Zn,As,Se,Rb,Sr,Zr,Mo,Ba
phospathe,,,,,phospathe,"0,56546636671907","20,8437919233237","47,3167598041357","24,9499665764927","0,791935117457463","0,945740504450597","0,005654663667191","0,233506371804996","0,402478515764905","0,053613963944351","0,327995723137302","3,53243077614137","0,000565466366719","0,000565466366719","0,000565466366719","0,001432086124575","0,000565466366719","0,016650344968446","0,006508590777153","0,003241339256858","0,000565466366719"
phospathe,,,,,phospathe,"0,598302373303203","13,9628278646985","8,07031825096858","38,7424642316298","0,386489150065793","1,66663919220568","0,005983023733032","0,050159588160556","0,383227500480001","0,005983023733032","0,392148336067643","35,7042257904961","0,000598302373303","0,000598302373303","0,013336069024003","0,000598302373303","0,000598302373303","0,000598302373303","0,013707488820965","0,000598302373303","0,000598302373303"
phospathe,,,,,phospathe,"0,460609090832669","46,6264705382846","2,401038664693","46,6657057425349","0,333460293144924","2,31421960982248","0,004606090908327","0,20434227344191","0,091030605621348","0,004606090908327","0,332992840303101","0,534222415851589","0,000460609090833","0,003663455601606","0,000460609090833","0,000460609090833","0,000460609090833","0,015875821208796","0,00439281229747","0,000460609090833","0,000460609090833"
phospathe,,,,,phospathe,"0,638220426673622","12,3497615807044","64,2931236516935","1,8010863141842","1,69110496712178","8,09540753337267","1,05613743940312","0,232815575576834","0,568927770826738","0,006382204266736","0,152448221003277","8,91657192398652","0,024606427554061","0,000638220426674","0,000638220426674","0,004525755517053","0,000638220426674","0,077501316363928","0,016091236750738","0,005986434434667","0,067386559286154"
phospathe,,,,,phospathe,"0,499498275448535","36,0165617744755","0,049949827544854","36,3856127374256","0,049949827544854","14,234221377253","0,004994982754485","0,254996125447303","0,179171149005606","0,004994982754485","0,920684566485645","11,222767860212","0,000499498275449","0,000499498275449","0,000499498275449","0,000499498275449","0,000499498275449","0,000499498275449","0,046925153694137","0,000499498275449","0,126174872025848"
phospathe,,,,,phospathe,"0,496160505582552","39,810711206399","17,0867537615948","39,4664974510634","0,049616050558255","1,17287025015001","0,004961605055826","0,157471970432907","0,229800873436087","0,070028542953527","0,251725404593964","1,03665516682554","0,139683244340664","0,000496160505583","0,005827677383314","0,000496160505583","0,000496160505583","0,003907221511664","0,014848265590638","0,000496160505583","0,000496160505583"
phospathe,,,,,phospathe,"0,458059515502881","33,9787740519356","6,57413671030448","48,9560534873085","1,01427464147067","5,54284316968324","0,004580595155029","1,05800113154603","0,260288274211427","0,133528008425617","0,485051867905005","1,50299625070728","0,000458059515503","0,000458059515503","0,024088445197423","0,000458059515503","0,000458059515503","0,000458059515503","0,004117434038327","0,000458059515503","0,000458059515503"
phospathe,,,,,phospathe,"24,9200141253345","2,49200141253345","40,8161171360295","9,31664504330644","16,7584374467315","3,60619668442782","0,249200141253345","0,249200141253345","0,249200141253345","0,484292214363024","0,249200141253345","0,249200141253345","0,024920014125335","0,024920014125335","0,024920014125335","0,160935118004338","0,024920014125335","0,024920014125335","0,024920014125335","0,024920014125335","0,024920014125335"
phospathe,,,,,phospathe,"0,476177676251977","40,1283197618883","9,24939318945135","46,1231594478484","0,152240211527847","1,24397220303796","0,00476177676252","0,059406367115622","0,253871232748041","0,108056494395054","0,362838670918981","1,81432690398237","0,000476177676252","0,000476177676252","0,01302907338721","0,000476177676252","0,000476177676252","0,000476177676252","0,00396710332754","0,003622821299259","0,000476177676252"
phospathe,,,,,phospathe,"0,531891428085967","26,0091005194806","13,4702900886745","40,5514409429808","0,786389697170144","2,29786099326843","0,00531891428086","0,504844301721398","0,452474960863655","0,127486049564792","1,80263688470861","13,3836246008079","0,000531891428086","0,000531891428086","0,03492840322179","0,023708169161624","0,000531891428086","0,000531891428086","0,009912034417984","0,005432554450487","0,000531891428086"
phospathe,,,,,phospathe,"0,506947092735234","33,3859475367235","20,6042359770488","40,236613667016","0,278140965727161","1,27058530859028","0,005069470927352","0,158112646818465","0,055071863334306","3,17043449951942","0,005069470927352","0,309823695497422","0,000506947092735","0,008374164272775","0,000506947092735","0,000506947092735","0,000506947092735","0,002025011212706","0,000506947092735","0,000506947092735","0,000506947092735"
phospathe,,,,,phospathe,"0,528585367643498","44,181994650003","7,37572795890369","27,5487621549331","0,992705083774641","1,78705095379614","0,005285853676435","7,63664602956579","0,045385878810345","0,15906744309165","0,005285853676435","1,92711936345628","6,77987718511292","0,818992011965223","0,000528585367643","0,000528585367643","0,003587067829284","0,197872632489234","0,00394016980178","0,000528585367643","0,000528585367643"
phospathe,,,,,phospathe,"0,595439498071613","29,2288807649867","13,979948393571","22,3194653724442","0,797510045140208","1,61700875823284","0,962803342065768","2,18398139169937","0,111208747420148","0,310097952256289","0,005954394980716","14,5933589796876","11,9953707212312","1,05864006203494","0,025193443966886","0,000595439498072","0,009335528237656","0,139719653964305","0,007571580042128","0,007446872305221","0,05046905816321"
phospathe,,,,,phospathe,"4,85567089058259","10,8237858991728","7,7228272547042","37,1486036139451","0,376541511218853","1,09765430246028","0,006045027966788","0,08597399922824","0,48987117394389","0,006045027966788","0,408187037298908","36,9273325386007","0,000604502796679","0,000604502796679","0,036227243761352","0,000604502796679","0,003324241990442","0,000604502796679","0,008283220378941","0,000604502796679","0,000604502796679"
phospathe,,,,,phospathe,"0,507755669699011","33,1046083116303","24,1533324567487","37,4256288045758","0,948359622631839","0,683214257958894","1,09660056139405","0,215882943551852","0,304969509345615","0,122996838838008","0,271084263998087","1,05215303245715","0,000507755669699","0,000507755669699","0,021076855032753","0,000507755669699","0,001841674750862","0,047750590257017","0,01191130769486","0,000507755669699","0,028802276756392"
phospathe,,,,,phospathe,"0,481027041478274","37,7818912039166","11,9365271763233","45,8854822613467","0,102176985416938","0,936679736903956","0,004810270414783","0,042127973341702","0,387498751110415","0,145227825722112","0,506874982740877","1,75037165545349","0,000481027041478","0,000481027041478","0,016628761077237","0,000481027041478","0,000481027041478","0,000481027041478","0,017031892308766","0,002757320196071","0,000481027041478"
phospathe,,,,,phospathe,"0,583283690047805","18,3230025826299","20,3020522830454","32,6604216656328","1,05595088491499","2,59458406441857","0,005832836900478","0,675292260547386","1,43033487659163","0,131445501977716","0,626853846447252","21,2141045755071","0,009546077450189","0,000583283690048","0,044142154808615","0,000583283690048","0,000583283690048","0,1632288984247","0,086574379146357","0,011367800942047","0,080231769496855"
phospathe,,,,,phospathe,"0,50767814112895","35,6735054938943","21,3148898028201","38,3372884387103","0,191923239877819","0,906373753231347","0,00507678141129","0,231937391188958","0,284241213826976","0,400027493716698","0,286567302141216","1,74316919261306","0,000507678141129","0,000507678141129","0,000507678141129","0,000507678141129","0,000507678141129","0,068428199574674","0,012354703513399","0,000507678141129","0,033492783504175"
phospathe,,,,,phospathe,"0,477812155171475","32,0972820996573","6,42413636434926","50,2867443556233","0,440552941574198","2,35199495281868","0,004778121551715","0,437420229882764","0,846380442413131","0,004778121551715","0,716957157213602","5,84651449318242","0,006692046991197","0,000477812155171","0,017091596271583","0,000477812155171","0,000477812155171","0,000477812155171","0,032998077014605","0,005477783957151","0,000477812155171"
